"World Development Indicators",

"2017-08-02",

"Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"ABW","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"AFG","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2123498103069","8.20815301855031","7.81724842469336","7.26618517502382","6.37155151704114","6.20618027566277","6.94250928983089","6.83284386338264","6.34234622663813","5.79189922951505","5.59834667313982","5.48447167066433","5.24944009755562","","",
"AGO","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79975973785657","1.07495030577892","1.46333985925588","1.92089672075927","1.24604639329818","1.11006719606174","2.57215432567534","1.9487032082189","2.36091506247445","2.29947955487772","2.07931364036576","1.52000214467038","1.1693476108495","1.1285994978321","1.70785657263892","1.32989142638432","1.2244884261322","1.16747771667537","1.18262329756933","1.18207073517153","","",
"ALB","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88407457467167","5.68577680371952","5.54359052523674","4.84817145321902","4.35801847343953","3.99756644183973","3.70791987116593","4.04378758678423","4.01490307861173","3.70012981972392","3.40985531679276","3.28616015779203","3.47476414994422","3.17551770968872","2.95776371707859","2.85846698034215","2.86549440007284","2.85346874998118","2.81915524420344","2.94673215454404","","",
"AND","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8253165444614","1.8586859872137","1.84785152501761","2.01834553099687","1.79484260071688","1.80475151319123","1.8089834125","1.8630136986882","1.79885309503363","1.78762227045662","1.76364429117443","1.74777086730114","1.74913286822206","1.74233778090344","1.72215248598143","1.75723982309386","1.77750218388556","1.80029753272145","1.78568960565423","1.78568960620004","","",
"ARB","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.69501697664911","1.67671240178349","1.79030485649684","1.99648709169807","1.94587214257857","1.78527676401021","1.80104183580029","1.87391803845861","1.75059311276458","1.6232936817941","1.44128825962927","1.39282418658044","1.45077653880677","1.42833780169105","1.73766033875641","1.67109442706259","1.55618795438559","1.69957411170042","1.77469921572649","1.8401003701193","","",
"ARE","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.554393562254582","0.510219265488265","0.538668040821619","0.837685333386454","0.796158217715349","0.702931747700503","0.539782611023877","1.00360005828288","0.974867000033878","1.00611889010878","0.951321400084357","0.942836688959062","1.01026464203734","1.00690076671904","1.01579791258021","1.09528624393493","0.971370658448816","0.89597367132124","0.928317442651919","1.0078340606404","","",
"ARG","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3445496543595","3.39335237157692","3.80831731253788","3.91171381572855","4.20283363397006","4.24695310843125","4.30995612763209","3.86098963095398","3.96503955715479","3.3181641719482","3.18138553184823","3.02700160391524","2.7115092091895","2.54262103795865","2.59397261082251","2.38667381514721","2.14735014700316","2.06009729634158","2.25185057161248","2.13324236241254","","",
"ARM","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.42246349785664","4.16960912729225","4.36009287743241","4.11125871604188","4.06937568483572","5.11595148072859","4.34894185760062","4.03908674694774","4.04731041094874","4.09673098595381","3.34706303902586","2.52486866652426","2.20954582227243","2.03455266713942","2.53531803356247","2.63954895701121","1.77463743389997","2.606476708651","2.60353579337069","2.5544737532045","","",
"ASM","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATG","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39726833666688","1.41516938608864","1.34190455140062","1.24814254267812","1.2168468848188","1.33724305021429","1.53463053736771","1.46355560577429","1.58432798477791","1.52719189006749","1.46000175489595","1.38991573647109","1.31972324361192","1.34898294432663","1.51816242419607","1.73496725799743","1.75748962142215","1.73360561579766","1.73963043698115","1.7570724341349","","",
"AUS","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48450264484882","2.58673938583173","2.48275170797171","2.57805433071262","2.46283156092713","2.67863348399026","2.75768004331882","2.76977818501043","2.81232385001891","2.84942165140848","2.792444146459","2.83030335871122","2.7647540965227","2.85586505405223","2.85949994875751","2.88793765660665","2.88396827213373","3.0717518713511","3.08882134053316","3.10570758169405","","",
"AUT","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40992412725376","2.43104356942973","2.46848736749624","2.51871442643446","2.53933553239674","2.5282007416989","2.61572178286744","2.66352492179091","2.74386020283731","2.76854608050578","2.6999962908032","2.61361494354416","2.62547432818314","2.60807305610013","2.72830770147133","2.76524121345952","2.72189834687624","2.75103024820483","2.76717596171491","2.48044756001202","","",
"AZE","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.40012343214527","4.63836689119042","4.22335025742076","4.53085300738999","4.37171400635554","3.80392025894861","3.63593984022491","3.675287697144","5.73361007002278","6.89587391448392","6.98300272512009","5.30388323035641","4.11499905093705","3.54939098377225","4.51127075956728","4.16557937651887","3.92833735644618","4.15630102575066","4.38736654539408","4.80589572105364","","",
"BDI","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.02804992026843","3.00293567289595","2.98278332825778","3.25285901565409","3.15293290490871","3.57402614584693","3.326188159443","3.59855334006863","3.90321882254987","4.55710544213493","6.89997095910134","7.96130318449116","6.24633123020283","4.50415186088633","3.87114708910081","3.32101189553368","3.17613742280995","3.27668841446035","3.63496072677388","3.56183783299187","","",
"BEL","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.76600441554212","1.72623940456093","1.91202430736636","1.98706019550902","2.05335800435491","2.0622230660478","2.03923742060859","2.21725858025053","2.38550139871214","2.19316989713391","2.13153934071018","2.20875751571876","2.29913765113274","2.20167200396911","2.35051777636632","2.26893794396336","2.41675825507077","2.35345103935518","2.34618390154365","2.3447614308535","","",
"BEN","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58095243553055","2.55494584598087","2.49737524129787","2.44591391302338","2.4769330646511","2.42120392633102","2.37846397536244","2.38576144457956","2.4193948837165","2.38662189584102","2.38136857855126","2.36471514801355","2.23875420396756","2.05794331487459","2.13568576116805","2.25967002825546","2.4397427916719","2.70277218036281","2.3765972906709","2.3431002240023","","",
"BFA","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.04188420223305","3.20139605072313","3.06053296200597","3.19898982847294","3.07641940659383","3.04218370463146","3.01958863421673","3.00470689509436","3.00553569712539","2.9888989363955","2.78060986795857","2.83783430547849","2.63366783091434","2.77158599582633","3.7470516439628","3.1988703930758","2.21430886991182","2.34651674964593","2.4230067704212","2.36628949058281","","",
"BGD","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.02177137277079","1.93245205590454","1.28216115208875","1.31648584187236","1.35801993121836","1.38008308305911","1.44502414899053","1.52507760323436","1.53449038853967","1.57341883560058","1.71045024844167","1.75740003372413","1.81127236210263","1.89278144134372","1.91848404890263","2.01338693994566","2.11478389728484","2.0967243477605","2.07253330426278","2.0324660506963","","",
"BGR","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.23775141741407","1.39004726203043","1.34360777206478","1.40547592005487","1.97178214334621","2.37128099381387","3.01007719850685","2.86930112513109","2.81679140710631","2.78080172034512","2.76680733488412","2.87266245254463","2.67963833067965","2.74192965790604","3.02634404046921","3.21033043032655","3.1233214937886","3.10587927847158","3.80735747832935","3.83528179969148","","",
"BHR","Health expenditure private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29432642422354","1.28595536624539","1.30025962593971","1.43493306732446","1.35018163166921","1.14654806950475","1.26244069699832","1.30981615724904","1.23860531085892","1.09819818361156","1.00152764656387","0.951504433680899","0.893107534466696","0.855428473381933","1.03805962084896","1.04427019938294","1.01842061494972","1.60324939790745","1.67038498495332","1.8302960833183","","",
